Tight End, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Jeremy Ruckert, NYJ,41,57,15,0,0,0,33,24,229,2,0%,6%
Tommy Tremble, CAR,42,57,15,0,0,0,33,22,228,2,0%,6%
Austin Hooper, NE,43,57,15,0,0,0,39,26,243,1,0%,7%
Theo Johnson, NYG,44,55,15,0,0,0,35,24,233,1,0%,6%
Connor Heyward, PIT,45,50,15,0,0,0,31,21,206,1,0%,6%
Kylen Granson, IND,46,49,15,0,0,0,32,21,213,1,0%,6%
Johnny Mundt, MIN,47,47,15,0,0,0,29,21,192,1,0%,5%
Gerald Everett, CHI,48,46,15,2,2,0,28,20,181,1,1%,5%
Adam Trautman, DEN,49,46,15,0,0,0,28,19,189,1,0%,5%
Ja'Tavion Sanders, CAR,50,46,15,0,0,0,27,19,196,1,0%,5%
Josh Oliver, MIN,51,45,15,0,0,0,28,18,186,1,0%,5%
Foster Moreau, NO,52,42,15,0,0,0,23,16,182,1,0%,4%
Josh Whyle, TEN,53,39,15,0,0,0,24,16,166,1,0%,4%
Brock Wright, DET,54,39,15,0,0,0,22,16,155,1,0%,4%
Durham Smythe, MIA,55,37,15,0,0,0,23,18,143,1,0%,4%
Jordan Akins, CLV,56,36,15,0,0,0,21,15,149,1,0%,4%
Elijah Higgins, ARZ,57,35,15,0,0,0,22,16,152,1,0%,4%
Darnell Washington, PIT,58,34,15,0,0,0,20,14,143,1,0%,4%
Luke Schoonmaker, DAL,59,32,15,0,0,0,18,12,126,1,0%,3%
Davis Allen, LAR,60,31,15,0,0,0,18,13,133,1,0%,3%
Brevin Jordan, HST,61,30,15,0,0,0,17,12,129,1,0%,3%
Drew Sample, CIN,62,30,15,0,0,0,18,14,116,1,0%,3%
Brenton Strange, JAX,63,29,15,0,0,0,17,12,118,1,0%,3%
Tanner Hudson, CIN,64,29,15,0,0,0,18,13,117,1,0%,3%
Pharaoh Brown, SEA,65,28,15,0,0,0,17,12,124,1,0%,3%
Stone Smartt, LAC,66,27,15,0,0,0,16,11,113,1,0%,3%
Ian Thomas, CAR,67,26,15,0,0,0,17,11,117,1,0%,3%
Stephen Sullivan, CAR,68,26,15,0,0,0,17,11,110,1,0%,3%
Andrew Ogletree, IND,69,25,15,0,0,0,16,10,107,1,0%,3%
Payne Durham, TB,70,24,15,0,0,0,14,10,101,1,0%,2%
A.J. Barner, SEA,71,24,15,0,0,0,14,10,98,1,0%,2%
Peyton Hendershot, DAL,72,21,15,0,0,0,12,8,85,1,0%,2%
Ross Dwelley, ATL,73,21,15,0,0,0,11,8,84,1,0%,2%
Irv Smith Jr., KC,74,21,15,0,0,0,11,8,72,1,0%,2%
Erick All, CIN,75,20,15,0,0,0,12,9,84,1,0%,2%
Luke Farrell, JAX,76,19,15,0,0,0,11,8,77,1,0%,2%
Ko Kieft, TB,77,19,15,0,0,0,11,7,76,1,0%,2%
Mo Alie-Cox, IND,78,19,15,0,0,0,11,7,81,1,0%,2%
Lucas Krull, DEN,79,18,15,0,0,0,11,7,78,0,0%,2%
C.J. Uzomah, PHI,80,18,15,0,0,0,10,8,69,1,0%,2%