Wide Receiver, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
CeeDee Lamb, DAL,1,317,15,13,86,1,160,113,1408,9,3%,26%
Tyreek Hill, MIA,2,298,15,4,25,0,156,106,1438,8,1%,27%
Ja'Marr Chase, CIN,3,291,15,4,18,0,152,106,1342,8,1%,25%
Justin Jefferson, MIN,4,284,15,2,10,0,164,106,1356,7,1%,28%
Amon-Ra St. Brown, DET,5,284,15,4,29,0,153,110,1265,7,1%,27%
A.J. Brown, PHI,6,271,15,0,0,0,144,93,1307,8,0%,27%
Puka Nacua, LAR,7,258,15,12,77,1,136,88,1238,6,3%,23%
Garrett Wilson, NYJ,8,250,15,4,24,0,136,80,1136,9,1%,24%
Chris Olave, NO,9,248,15,0,0,0,139,86,1261,6,0%,24%
Davante Adams, LV,10,244,15,0,0,0,149,93,1206,5,0%,26%
Mike Evans, TB,11,235,15,0,0,0,130,77,1138,7,0%,22%
Marvin Harrison Jr., ARZ,12,229,15,0,0,0,129,83,1121,6,0%,23%
Michael Pittman Jr., IND,13,228,15,0,0,0,144,99,1083,4,0%,27%
Drake London, ATL,14,228,15,0,0,0,128,84,1034,7,0%,22%
Nico Collins, HST,15,227,15,0,0,0,118,77,1057,7,0%,20%
DK Metcalf, SEA,16,227,15,0,0,0,118,70,1082,8,0%,21%
DeVonta Smith, PHI,17,226,15,0,0,0,122,84,1041,6,0%,23%
Stefon Diggs, HST,18,224,15,2,12,0,130,86,1038,6,1%,22%
DJ Moore, CHI,19,224,15,2,13,0,123,77,1047,7,1%,22%
Brandon Aiyuk, SF,20,222,15,0,0,0,113,75,1067,7,0%,22%
Calvin Ridley, TEN,21,221,15,4,18,0,129,74,1018,7,1%,21%
Deebo Samuel, SF,22,220,14,29,164,3,94,62,923,6,6%,18%
Jaylen Waddle, MIA,23,219,15,4,25,0,121,81,1068,5,1%,21%
Cooper Kupp, LAR,24,218,15,2,12,0,118,78,996,7,1%,20%
Zay Flowers, BLT,25,217,15,9,55,1,117,78,971,6,2%,23%
Tee Higgins, CIN,26,216,15,0,0,0,116,70,1031,7,0%,19%
Chris Godwin, TB,27,214,15,4,25,0,124,81,973,5,1%,21%
Malik Nabers, NYG,28,213,15,0,0,0,127,79,1032,5,0%,22%
George Pickens, PIT,29,211,15,4,29,0,118,71,1092,5,1%,23%
Tank Dell, HST,30,209,15,16,93,1,112,70,932,6,4%,19%
Amari Cooper, CLV,31,209,15,0,0,0,119,73,1043,5,0%,22%
Diontae Johnson, CAR,32,209,15,2,13,0,117,72,989,6,1%,21%
Christian Kirk, JAX,33,205,15,2,12,0,124,83,949,4,1%,21%
Keenan Allen, CHI,34,202,14,2,12,0,123,84,882,5,1%,22%
Jaxon Smith-Njigba, SEA,35,193,15,0,0,0,113,76,894,5,0%,20%
Terry McLaurin, WAS,36,190,15,0,0,0,119,72,984,3,0%,21%
Jordan Addison, MIN,37,190,15,0,0,0,115,70,874,5,0%,19%
Courtland Sutton, DEN,38,189,15,0,0,0,120,71,899,5,0%,21%
Rashee Rice, KC,39,189,13,2,10,0,94,68,794,7,0%,16%
Christian Watson, GB,40,188,15,6,39,0,95,54,833,8,2%,17%